service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1000_398131,1,1,1,1,1,1,1,20260528,20260613
1001_398132,1,1,1,1,1,1,1,20260614,20261212
1002_398133,1,1,1,1,1,0,0,20260303,20260306
1003_398134,1,1,1,1,1,1,1,20260308,20260613
100_397108,1,1,1,1,1,1,1,20260606,20260606
1004_398135,1,1,1,1,1,0,0,20260303,20260306
1005_398136,1,1,1,1,1,1,1,20260308,20260613
1006_398137,1,1,1,1,1,0,0,20260303,20260306
1007_398138,1,1,1,1,1,0,0,20260309,20260612
1008_398139,0,0,0,0,0,1,1,20260303,20260307
1009_398140,1,1,1,1,1,1,1,20260308,20260308
1010_398141,0,0,0,0,0,1,1,20260314,20260613
1011_398142,0,0,0,0,0,1,1,20260614,20261212
1012_398143,1,1,1,1,1,1,1,20260303,20260307
1013_398144,1,1,1,1,1,0,0,20260309,20260612
101_397110,1,1,1,1,1,1,1,20260418,20260418
1014_398145,1,1,1,1,1,1,1,20260303,20260307
1015_398146,1,1,1,1,1,1,1,20260308,20260613
1016_398147,1,1,1,1,1,1,1,20260303,20260307
1017_398148,1,1,1,1,1,0,0,20260309,20260612
1018_398149,1,1,1,1,1,0,0,20260303,20260306
1019_398150,1,1,1,1,1,1,1,20260308,20260613
1020_398151,1,1,1,1,1,1,1,20260303,20260307
1021_398152,1,1,1,1,1,1,1,20260407,20260613
1022_398153,1,1,1,1,1,0,0,20260303,20260306
1023_398154,1,1,1,1,1,1,1,20260407,20260613
102_397111,1,1,1,1,1,1,1,20260516,20260516
1024_398155,1,1,1,1,1,1,1,20260303,20260307
1025_398156,1,1,1,1,1,1,1,20260407,20260613
1026_398157,1,1,1,1,1,0,0,20260303,20260306
1027_398158,1,1,1,1,1,1,1,20260407,20260613
1028_398159,1,1,1,1,1,1,1,20260303,20260307
1029_398160,1,1,1,1,1,1,1,20260407,20260613
1030_398161,1,1,1,1,1,0,0,20260303,20260306
1031_398162,1,1,1,1,1,1,1,20260407,20260613
1032_398163,0,0,0,0,0,1,1,20260303,20260307
1033_398164,1,1,1,1,1,0,0,20260303,20260306
103_397112,1,1,1,1,1,1,1,20260606,20260606
1034_398165,1,1,1,1,1,1,1,20260407,20260613
1035_398166,1,1,1,1,1,1,1,20260303,20260307
1036_398167,1,1,1,1,1,1,1,20260407,20260613
1037_398168,1,1,1,1,1,1,1,20260303,20260307
1038_398169,1,1,1,1,1,1,1,20260407,20260613
1039_398170,1,1,1,1,1,0,0,20260309,20260612
10_397004,0,0,0,0,0,1,1,20260303,20260307
1040_398171,1,1,1,1,1,0,0,20260303,20260306
1041_398172,1,1,1,1,1,1,1,20260308,20260613
1042_398173,1,1,1,1,1,1,1,20260303,20260307
1043_398174,1,1,1,1,1,1,1,20260303,20260307
104_397113,1,1,1,1,1,1,1,20260606,20260606
1044_398175,1,1,1,1,1,1,1,20260308,20260613
1045_398176,1,1,1,1,1,1,1,20260303,20260307
1046_398177,1,1,1,1,1,1,1,20260308,20260613
1047_398178,1,1,1,1,1,1,1,20260614,20261212
1048_398179,1,1,1,1,1,1,1,20260303,20260307
1049_398180,1,1,1,1,1,1,1,20260308,20260613
1050_398181,1,1,1,1,1,1,1,20260303,20260307
1051_398182,1,1,1,1,1,1,1,20260308,20260613
1052_398183,1,1,1,1,1,1,1,20260614,20261212
1053_398184,1,1,1,1,1,1,1,20260303,20260307
105_397114,1,1,1,1,1,1,1,20260303,20260307
1054_398185,1,1,1,1,1,1,1,20260308,20260613
1055_398186,1,1,1,1,1,1,1,20260614,20261212
1056_398187,1,1,1,1,1,1,1,20260303,20260307
1057_398188,1,1,1,1,1,1,1,20260308,20260613
1058_398189,1,1,1,1,1,1,1,20260614,20261212
1059_398190,1,1,1,1,1,1,1,20260303,20260307
1060_398191,1,1,1,1,1,1,1,20260308,20260613
1061_398192,1,1,1,1,1,1,1,20260614,20261212
1062_398193,1,1,1,1,1,0,0,20260309,20260612
1063_398194,1,1,1,1,1,1,1,20260303,20260307
106_397115,1,1,1,1,1,1,1,20260308,20260613
1064_398195,1,1,1,1,1,1,1,20260614,20261212
1065_398196,1,1,1,1,1,1,1,20260308,20260613
1066_398197,1,1,1,1,1,1,1,20260303,20260307
1067_398198,1,1,1,1,1,0,0,20260309,20260612
1068_398199,1,1,1,1,1,1,1,20260303,20260307
1069_398200,1,1,1,1,1,1,1,20260308,20260613
1070_398201,1,1,1,1,1,1,1,20260614,20261212
1071_398202,1,1,1,1,1,1,1,20260303,20260307
1072_398203,1,1,1,1,1,1,1,20260308,20260613
1073_398204,1,1,1,1,1,1,1,20260614,20261212
107_397116,1,1,1,1,1,1,1,20260614,20261212
1074_398205,1,1,1,1,1,1,1,20260303,20260307
1075_398206,1,1,1,1,1,1,1,20260308,20260613
1076_398207,1,1,1,1,1,1,1,20260614,20261212
1077_398208,1,1,1,1,1,1,1,20260303,20260307
1078_398209,1,1,1,1,1,1,1,20260308,20260613
1079_398210,1,1,1,1,1,1,1,20260614,20261212
1080_398211,1,1,1,1,1,1,1,20260303,20260307
1081_398212,1,1,1,1,1,1,1,20260308,20260613
1082_398213,1,1,1,1,1,1,1,20260614,20261212
1083_398214,1,1,1,1,1,1,1,20260303,20260307
108_397117,1,1,1,1,1,1,1,20260303,20260307
1084_398215,1,1,1,1,1,1,1,20260308,20260613
1085_398216,1,1,1,1,1,1,1,20260614,20261212
1086_398217,1,1,1,1,1,1,1,20260303,20260307
1087_398218,1,1,1,1,1,1,1,20260308,20260613
1088_398219,1,1,1,1,1,1,1,20260614,20261212
1089_398220,1,1,1,1,1,1,1,20260308,20260613
1090_398221,1,1,1,1,1,0,0,20260309,20260612
1091_398222,0,0,0,0,0,1,1,20260308,20260613
1092_398223,1,1,1,1,1,0,0,20260309,20260612
1093_398224,1,1,1,1,1,1,1,20260308,20260613
109_397118,1,1,1,1,1,1,1,20260308,20260613
1094_398225,1,1,1,1,1,1,1,20260308,20260613
1095_398226,1,1,1,1,1,1,1,20260308,20260613
1096_398227,1,1,1,1,1,0,0,20260309,20260612
1097_398228,1,1,1,1,1,1,1,20260308,20260613
1098_398229,1,1,1,1,1,1,1,20260308,20260613
1099_398230,1,1,1,1,1,0,0,20260309,20260612
1100_398231,1,1,1,1,1,0,0,20260309,20260612
1101_398232,1,1,1,1,1,1,1,20260308,20260613
1102_398233,1,1,1,1,1,0,0,20260309,20260612
1103_398234,1,1,1,1,1,1,1,20260308,20260613
110_397119,1,1,1,1,1,1,1,20260614,20261212
1104_398235,1,1,1,1,1,0,0,20260309,20260612
1105_398236,1,1,1,1,1,1,1,20260308,20260613
1106_398237,1,1,1,1,1,0,0,20260309,20260612
1107_398238,1,1,1,1,1,1,1,20260308,20260613
1108_398239,1,1,1,1,1,0,0,20260309,20260612
1109_398240,1,1,1,1,1,1,1,20260308,20260613
1110_398241,1,1,1,1,1,0,0,20260309,20260612
1111_398242,1,1,1,1,1,0,0,20260309,20260612
1112_398243,1,1,1,1,1,1,1,20260308,20260613
1113_398244,1,1,1,1,1,1,1,20260308,20260613
111_397120,1,1,1,1,1,1,1,20260303,20260307
1114_398245,1,1,1,1,1,1,1,20260308,20260613
1115_398246,1,1,1,1,1,0,0,20260309,20260612
1116_398247,1,1,1,1,1,1,1,20260308,20260415
1117_398248,1,1,1,1,1,1,1,20260416,20260611
1118_398249,1,1,1,1,1,1,1,20260612,20260613
1119_398250,1,1,1,1,1,1,1,20260303,20260307
1120_398251,1,1,1,1,1,1,1,20260308,20260613
1121_398252,1,1,1,1,1,1,1,20260404,20260406
1122_398253,1,1,1,1,1,1,1,20260614,20261212
1123_398254,1,1,1,1,1,0,0,20260303,20260306
112_397121,1,1,1,1,1,1,1,20260308,20260613
1124_398255,1,1,1,1,1,0,0,20260309,20260612
1125_398256,1,1,1,1,1,0,0,20260615,20261211
1126_398257,1,1,1,1,1,1,1,20260303,20260307
1127_398258,1,1,1,1,1,1,1,20260308,20260613
1128_398259,1,1,1,1,1,1,1,20260614,20261212
1129_398260,0,0,0,0,0,1,1,20260303,20260307
1130_398261,1,1,1,1,1,0,0,20260303,20260306
1131_398262,0,0,0,0,0,1,1,20260308,20260329
1132_398263,1,1,1,1,1,0,0,20260309,20260612
1133_398264,1,1,1,1,1,1,1,20260404,20260406
113_397122,1,1,1,1,1,1,1,20260614,20261212
1134_398265,0,0,0,0,0,1,1,20260411,20260613
1135_398266,0,0,0,0,0,1,1,20260614,20261212
1136_398267,1,1,1,1,1,0,0,20260615,20261211
1137_398268,0,0,0,0,0,1,1,20260303,20260307
1138_398269,1,1,1,1,1,0,0,20260303,20260306
1139_398270,0,0,0,0,0,1,1,20260308,20260613
11_397005,0,0,0,0,0,1,1,20260308,20260613
1140_398271,1,1,1,1,1,0,0,20260309,20260612
1141_398272,0,0,0,0,0,1,1,20260614,20261212
1142_398273,1,1,1,1,1,0,0,20260615,20261211
1143_398274,1,1,1,1,1,1,1,20260303,20260307
114_397123,1,1,1,1,1,1,1,20260303,20260307
1144_398275,1,1,1,1,1,1,1,20260308,20260613
1145_398276,1,1,1,1,1,1,1,20260614,20261212
1146_398277,1,1,1,1,1,1,1,20260303,20260307
1147_398278,1,1,1,1,1,1,1,20260308,20260613
1148_398279,1,1,1,1,1,1,1,20260404,20260406
1149_398280,1,1,1,1,1,1,1,20260614,20261212
1150_398281,1,1,1,1,1,1,1,20260303,20260307
1151_398282,1,1,1,1,1,1,1,20260308,20260613
1152_398283,1,1,1,1,1,1,1,20260614,20261212
1153_398284,0,0,0,0,0,1,1,20260303,20260307
115_397124,1,1,1,1,1,1,1,20260308,20260613
1154_398285,0,0,0,0,0,1,1,20260308,20260613
1155_398286,0,0,0,0,0,1,1,20260614,20261212
1156_398287,1,1,1,1,1,0,0,20260615,20261211
1157_398288,0,0,0,0,0,1,1,20260303,20260307
1158_398289,1,1,1,1,1,0,0,20260303,20260306
1159_398290,0,0,0,0,0,1,1,20260308,20260329
1160_398291,1,1,1,1,1,0,0,20260309,20260403
1161_398292,1,1,1,1,1,1,1,20260404,20260406
1162_398293,1,1,1,1,1,0,0,20260407,20260417
1163_398294,1,1,1,1,1,1,1,20260411,20260412
116_397125,1,1,1,1,1,1,1,20260614,20261212
1164_398295,0,0,0,0,0,1,1,20260418,20260613
1165_398296,1,1,1,1,1,0,0,20260420,20260612
